"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T01:41:36+01:00,1359333696,Mon, 28 Jan 2013 00:41:36 +0000
2013-01-28T01:41:37+01:00,1359333697,Mon, 28 Jan 2013 00:41:37 +0000
2013-01-28T01:41:38+01:00,1359333698,Mon, 28 Jan 2013 00:41:38 +0000
2013-01-28T01:41:39+01:00,1359333699,Mon, 28 Jan 2013 00:41:39 +0000
2013-01-28T01:41:40+01:00,1359333700,Mon, 28 Jan 2013 00:41:40 +0000
2013-01-28T01:41:41+01:00,1359333701,Mon, 28 Jan 2013 00:41:41 +0000
2013-01-28T01:41:42+01:00,1359333702,Mon, 28 Jan 2013 00:41:42 +0000
2013-01-28T01:41:43+01:00,1359333703,Mon, 28 Jan 2013 00:41:43 +0000
2013-01-28T01:41:44+01:00,1359333704,Mon, 28 Jan 2013 00:41:44 +0000
2013-01-28T01:41:45+01:00,1359333705,Mon, 28 Jan 2013 00:41:45 +0000
2013-01-28T01:41:46+01:00,1359333706,Mon, 28 Jan 2013 00:41:46 +0000
2013-01-28T01:41:47+01:00,1359333707,Mon, 28 Jan 2013 00:41:47 +0000
2013-01-28T01:41:48+01:00,1359333708,Mon, 28 Jan 2013 00:41:48 +0000
2013-01-28T01:41:49+01:00,1359333709,Mon, 28 Jan 2013 00:41:49 +0000
2013-01-28T01:41:50+01:00,1359333710,Mon, 28 Jan 2013 00:41:50 +0000
2013-01-28T01:41:51+01:00,1359333711,Mon, 28 Jan 2013 00:41:51 +0000
2013-01-28T01:41:52+01:00,1359333712,Mon, 28 Jan 2013 00:41:52 +0000
2013-01-28T01:41:53+01:00,1359333713,Mon, 28 Jan 2013 00:41:53 +0000
2013-01-28T01:41:54+01:00,1359333714,Mon, 28 Jan 2013 00:41:54 +0000
2013-01-28T01:41:55+01:00,1359333715,Mon, 28 Jan 2013 00:41:55 +0000
2013-01-28T01:41:56+01:00,1359333716,Mon, 28 Jan 2013 00:41:56 +0000
2013-01-28T01:41:57+01:00,1359333717,Mon, 28 Jan 2013 00:41:57 +0000
2013-01-28T01:41:58+01:00,1359333718,Mon, 28 Jan 2013 00:41:58 +0000
2013-01-28T01:41:59+01:00,1359333719,Mon, 28 Jan 2013 00:41:59 +0000
2013-01-28T01:42:00+01:00,1359333720,Mon, 28 Jan 2013 00:42:00 +0000
2013-01-28T01:42:01+01:00,1359333721,Mon, 28 Jan 2013 00:42:01 +0000
2013-01-28T01:42:02+01:00,1359333722,Mon, 28 Jan 2013 00:42:02 +0000
2013-01-28T01:42:03+01:00,1359333723,Mon, 28 Jan 2013 00:42:03 +0000
2013-01-28T01:42:04+01:00,1359333724,Mon, 28 Jan 2013 00:42:04 +0000
2013-01-28T01:42:05+01:00,1359333725,Mon, 28 Jan 2013 00:42:05 +0000
2013-01-28T01:42:06+01:00,1359333726,Mon, 28 Jan 2013 00:42:06 +0000
2013-01-28T01:42:07+01:00,1359333727,Mon, 28 Jan 2013 00:42:07 +0000
2013-01-28T01:42:08+01:00,1359333728,Mon, 28 Jan 2013 00:42:08 +0000
2013-01-28T01:42:09+01:00,1359333729,Mon, 28 Jan 2013 00:42:09 +0000
2013-01-28T01:42:10+01:00,1359333730,Mon, 28 Jan 2013 00:42:10 +0000
2013-01-28T01:42:11+01:00,1359333731,Mon, 28 Jan 2013 00:42:11 +0000
2013-01-28T01:42:12+01:00,1359333732,Mon, 28 Jan 2013 00:42:12 +0000
